Key,Country,Region,Region_names,Income,Indicator,Indicator type,Indicator key word,Score,Evidence,Link,Numerical score,Comments 
West Bank and Gaza-Long-term strategy,West Bank and Gaza,MNA,Middle East and North Africa,Upper-middle income,Long-term strategy,Governance,LTS,No,,,0.0,
West Bank and Gaza-Does the country include environmental criteria in procurement tenders? Give one example,West Bank and Gaza,MNA,Middle East and North Africa,Upper-middle income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,No,"There is no known legal framework in West Bank and Gaza that mandates the inclusion of environmental criteria in public procurement processes.
",,0.0,
Zambia-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Zambia,AFRE,Sub-Saharan Africa (East),Lower-middle income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"The Climate Change Unit: ""It shall also coordinate implementation of programmes/projects including adaptation and mitigation in order to endure climate resilience livelihoods and development. The section ensures that international protocols such as Kyoto protocol and others are translated into policies and implemented to safeguard the country’s development trajectory.""",https://www.mgee.gov.zm/?page_id=698,1.0,
Zambia-Does the national government (or other body) publish climate risk information covering all local government units?,Zambia,AFRE,Sub-Saharan Africa (East),Lower-middle income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,Info not found,The Zambia Meteorological Department does not seem to have a website and climate risk data could not be found.,,0.0,
Zambia-Do fiscal risk statements identify climate change-related risks?,Zambia,AFRE,Sub-Saharan Africa (East),Lower-middle income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Yes,The Risks to the Attainment of Macroeconomic and Fiscal Objectives chapter in the MTBP 23-25 includes climate change risks.,https://www.mofnp.gov.zm/?page_id=4140,1.0,
Zambia-Is climate change reflected in the budget guidelines?,Zambia,AFRE,Sub-Saharan Africa (East),Lower-middle income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,Yes,The Medium Term Budget Plan 23-25 makes various references to climate action.,https://www.mofnp.gov.zm/?page_id=4140,1.0,
Zambia-Are climate-related expenditures identified in the budget and/or tracked?,Zambia,AFRE,Sub-Saharan Africa (East),Lower-middle income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,No climate budget tagging.,https://www.mofnp.gov.zm/?page_id=4096,0.0,
"Zambia-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Zambia,AFRE,Sub-Saharan Africa (East),Lower-middle income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,No,No evidence that EIA consiers climate change or that Zambia has another sort of climate screening for public investment. Zambia Public Investment Management Guidelines do not have climate criteria.,https://www.zema.org.zm/service/eia/,0.0,
"Zambia-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Zambia,AFRE,Sub-Saharan Africa (East),Lower-middle income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,No,No mandatory requirements. No SOEs were found to publish TCFD-aligned reports.,https://www.fsb.org/wp-content/uploads/P121023-2.pdf,0.0,
Zambia-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Zambia,AFRE,Sub-Saharan Africa (East),Lower-middle income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,No,Neither found at subnational level from the last 5 years.,,0.0,
Zambia-Climate change framework law,Zambia,AFRE,Sub-Saharan Africa (East),Lower-middle income,Climate change framework law,Governance,CC law,No,,,0.0,
Zambia-National adaptation plan,Zambia,AFRE,Sub-Saharan Africa (East),Lower-middle income,National adaptation plan,Governance,NAP,Yes,NAP for Zambia,https://unfccc.int/sites/default/files/resource/NAP-Zambia-2023.pdf,1.0,
Zambia-Long-term strategy,Zambia,AFRE,Sub-Saharan Africa (East),Lower-middle income,Long-term strategy,Governance,LTS,No,,,0.0,
Zambia-Does the country include environmental criteria in procurement tenders? Give one example,Zambia,AFRE,Sub-Saharan Africa (East),Lower-middle income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,Partial,"Zambia does not have a fully mandatory environmental criterion across all public procurement activities. The Public Procurement Regulations of 2022 refer to the need to protect ""environmental interests"" (Regulation 6(2f)), and life cycle costing, which may include environmental impacts, is encouraged in procurement processes (Regulation 8(43))​. However, these are not mandatory criteria. ",https://zambialii.org/akn/zm/act/si/2022/30/eng@2022-04-08,0.5,
Zimbabwe-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Zimbabwe,AFRE,Sub-Saharan Africa (East),Lower-middle income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"The Climate Change Management Department (CCMD) is the lead government agency for coordinating climate action in a whole-of-government and whole-of-society approach. The CCMD, founded in 2015, coordinates the operational, institutional and governance framework linking the international-national provincial-and-local realms. ",https://openknowledge.worldbank.org/server/api/core/bitstreams/a7e43475-55b0-4b6c-bfb1-5c23ebad1957/content,1.0,
Zimbabwe-Does the national government (or other body) publish climate risk information covering all local government units?,Zimbabwe,AFRE,Sub-Saharan Africa (East),Lower-middle income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,No,No sources have been found. The Meteorological services department has a facebook page with weather forecasts only.,,0.0,
Zimbabwe-Do fiscal risk statements identify climate change-related risks?,Zimbabwe,AFRE,Sub-Saharan Africa (East),Lower-middle income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Yes,The Budget 2024 Statement has climate risk as one of the budget and fiscal risks.,https://www.zimtreasury.gov.zw/wp-content/uploads/2023/12/Budget-Statement-2024-Final_compressed-1.pdf,1.0,
Zimbabwe-Is climate change reflected in the budget guidelines?,Zimbabwe,AFRE,Sub-Saharan Africa (East),Lower-middle income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,Yes,The Budget 2024 Statement names climate change as one of its priority areas.,https://www.zimtreasury.gov.zw/wp-content/uploads/2023/12/Budget-Statement-2024-Final_compressed-1.pdf,1.0,
Zimbabwe-Are climate-related expenditures identified in the budget and/or tracked?,Zimbabwe,AFRE,Sub-Saharan Africa (East),Lower-middle income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,The CCDR recommends undertaking climate budget tagging to provide data on climate-related spending and enable public scrutiny of such spending.,https://openknowledge.worldbank.org/server/api/core/bitstreams/a7e43475-55b0-4b6c-bfb1-5c23ebad1957/content,0.0,
"Zimbabwe-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Zimbabwe,AFRE,Sub-Saharan Africa (East),Lower-middle income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,No,"The CCDR recommends ""greening the public fiscal management to ensure that climate objectives are incorporated in public investment management"".",https://openknowledge.worldbank.org/server/api/core/bitstreams/a7e43475-55b0-4b6c-bfb1-5c23ebad1957/content,0.0,
